filename,width,height,class,xmin,ymin,xmax,ymax,image_id
Aamla Murabba 72.jpg,194,259,Aamla Murabba,44,94,171,211,108
Aamla Murabba 74.jpg,310,162,Aamla Murabba,105,73,179,148,109
Aamla Murabba 75.jpg,209,241,Aamla Murabba,26,156,86,210,110
Aamla Murabba 77.jpg,304,166,Aamla Murabba,105,79,207,166,111
Aamla Murabba 78.jpg,630,630,Aamla Murabba,233,220,410,407,112
Aamla Murabba 79.jpg,300,168,Aamla Murabba,109,24,192,106,113
Aamla Murabba 8.jpg,350,282,Aamla Murabba,128,56,217,130,114
Aamla Murabba 80.jpg,297,170,Aamla Murabba,160,43,237,127,115
Aamla Murabba 81.jpg,225,225,Aamla Murabba,140,119,203,182,116
Aamla Murabba 82.jpg,168,300,Aamla Murabba,66,138,114,181,117
Aamla Murabba 84.jpg,300,168,Aamla Murabba,154,42,219,105,118
Aamla Murabba 86.jpg,1200,1200,Aamla Murabba,583,215,957,552,119
Aamla Murabba 87.jpg,4032,2268,Aamla Murabba,1274,412,3065,1496,120
Aamras 1.jpg,500,500,Aamras,42,50,448,399,121
Aamras 10.jpg,600,900,Aamras,58,431,560,745,122
Aamras 11.jpg,1280,720,Aamras,560,242,1232,613,123
Aamras 12.jpg,792,792,Aamras,122,338,771,772,124
Aamras 13.jpg,1200,630,Aamras,441,177,900,630,125
Aamras 14.jpg,705,626,Aamras,40,55,666,598,126
Aamras 15.jpg,400,600,Aamras,76,305,305,497,127
Aamras 16.jpg,1281,1920,Aamras,595,587,1267,1191,128
Aamras 17.jpg,500,790,Aamras,46,284,418,536,129
Aamras 19.jpg,665,347,Aamras,163,126,499,342,130
Aamras 2.jpg,500,750,Aamras,117,193,500,532,131
Aamras 20.jpg,800,530,Aamras,154,181,596,530,132
Aamras 21.jpg,720,1080,Aamras,29,434,512,838,133
Aamras 22.jpg,1200,1200,Aamras,161,410,1016,1108,134
Aamras 25.jpg,600,906,Aamras,50,394,557,789,135
Aamras 26.jpg,878,714,Aamras,32,79,851,714,136
Aamras 27.jpg,650,567,Aamras,188,205,539,472,137
Aamras 29.jpg,600,400,Aamras,184,52,409,262,138
Aamras 31.jpg,720,1080,Aamras,191,291,562,675,139
Aamras 33.jpg,600,400,Aamras,36,1,600,392,140
Aamras 34.jpg,500,626,Aamras,80,255,416,547,141
Aamras 37.jpg,1200,1200,Aamras,304,349,969,837,142
Aamras 38.jpg,1110,957,Aamras,525,345,998,713,143
Aamras 38.jpg,1110,957,Aamras,106,507,616,957,143
Aamras 38.jpg,1110,957,Aamras,179,178,588,523,143
Aamras 39.jpg,800,533,Aamras,346,210,656,450,144
Aamras 4.jpg,400,600,Aamras,8,174,400,530,145
Aamras 40.jpg,500,600,Aamras,22,274,370,520,146
Aamras 41.jpg,1414,884,Aamras,495,323,1062,860,147
Aamras 42.jpg,1280,720,Aamras,136,39,831,665,148
Aamras 43.jpg,1280,720,Aamras,365,70,1045,426,149
Aamras 44.jpg,587,640,Aamras,150,248,515,502,150
Aamras 45.jpg,450,613,Aamras,116,366,322,541,151
Aamras 46.jpg,1000,667,Aamras,116,46,624,519,152
Aamras 47.jpg,556,557,Aamras,24,50,489,507,153
Aamras 48.jpg,600,891,Aamras,29,328,524,830,154
Aamras 5.jpg,800,530,Aamras,117,93,700,495,155
Aamras 50.jpg,1200,1200,Aamras,66,194,1109,1028,156
Aamras 51.jpg,600,359,Aamras,64,18,530,343,157
Aamras 52.jpg,1500,1999,Aamras,505,662,1337,1342,158
Aamras 53.jpg,1600,2400,Aamras,222,882,1398,1717,159
Aamras 54.jpg,1600,2400,Aamras,170,1161,1032,2061,160
Aamras 55.jpg,2560,1710,Aamras,1002,368,2137,1339,161
Aamras 57.jpg,500,500,Aamras,70,56,449,404,162
Aamras 58.jpg,970,960,Aamras,311,188,855,633,163
Aamras 7.jpg,825,588,Aamras,182,21,667,459,164
Aamras 8.jpg,600,821,Aamras,44,323,476,662,165
Aamras 9.jpg,620,330,Aamras,219,81,456,302,166
Akki Roti 1.jpg,259,194,Akki Roti,11,5,256,182,167
Akki Roti 100.jpg,183,275,Akki Roti,1,81,131,251,168
Akki Roti 101.jpg,217,232,Akki Roti,14,23,198,199,169
Akki Roti 102.jpg,183,275,Akki Roti,35,73,183,218,170
Akki Roti 103.jpg,237,212,Akki Roti,45,80,202,212,171
Akki Roti 104.jpg,640,640,Akki Roti,152,196,636,507,172
Akki Roti 105.jpg,244,207,Akki Roti,2,1,206,199,173
Akki Roti 106.jpg,640,640,Akki Roti,10,41,430,440,174
Akki Roti 107.jpg,640,640,Akki Roti,61,267,586,569,175
Akki Roti 110.jpg,640,640,Akki Roti,71,262,454,513,176
Akki Roti 111.jpg,183,275,Akki Roti,5,69,179,256,177
Akki Roti 112.jpg,640,640,Akki Roti,223,325,436,554,178
Akki Roti 113.jpg,640,640,Akki Roti,181,292,502,567,179
Akki Roti 115.jpg,640,640,Akki Roti,50,83,445,285,180
Akki Roti 115.jpg,640,640,Akki Roti,207,247,602,449,180
Akki Roti 116.jpg,640,640,Akki Roti,140,292,525,548,181
Akki Roti 118.jpg,640,640,Akki Roti,188,211,575,573,182
Akki Roti 119.jpg,640,640,Akki Roti,31,285,467,537,183
Akki Roti 12.jpg,640,640,Akki Roti,140,298,463,581,184
Akki Roti 120.jpg,640,640,Akki Roti,132,152,388,404,185
Akki Roti 120.jpg,640,640,Akki Roti,217,266,548,588,185
Akki Roti 121.jpg,640,640,Akki Roti,239,283,569,480,186
Akki Roti 121.jpg,640,640,Akki Roti,310,183,640,380,186
Akki Roti 122.jpg,640,640,Akki Roti,67,248,583,492,187
Akki Roti 123.jpg,259,194,Akki Roti,10,10,255,192,188
Akki Roti 124.jpg,640,640,Akki Roti,79,80,633,498,189
Akki Roti 125.jpg,640,640,Akki Roti,4,96,488,538,190
Akki Roti 128.jpg,640,640,Akki Roti,248,229,523,563,191
Akki Roti 129.jpg,234,215,Akki Roti,39,57,206,169,192
Akki Roti 130.jpg,640,640,Akki Roti,162,213,529,493,193
Akki Roti 132.jpg,640,640,Akki Roti,31,217,500,503,194
Akki Roti 134.jpg,640,640,Akki Roti,265,206,511,500,195
Akki Roti 135.jpg,194,259,Akki Roti,18,70,178,225,196
Akki Roti 136.jpg,640,640,Akki Roti,158,180,525,490,197
Akki Roti 138.jpg,640,640,Akki Roti,115,167,512,585,198
Akki Roti 139.jpg,640,640,Akki Roti,90,129,358,492,199
Akki Roti 14.jpg,640,640,Akki Roti,102,110,550,551,200
Akki Roti 140.jpg,183,275,Akki Roti,7,47,183,180,201
Akki Roti 141.jpg,640,640,Akki Roti,297,65,586,316,202
Akki Roti 141.jpg,640,640,Akki Roti,188,208,462,510,202
Akki Roti 142.jpg,640,640,Akki Roti,104,252,513,565,203
Akki Roti 143.jpg,640,640,Akki Roti,267,229,473,534,204
Akki Roti 145.jpg,640,640,Akki Roti,47,199,557,510,205
Akki Roti 146.jpg,640,640,Akki Roti,106,196,384,465,206
Akki Roti 148.jpg,640,640,Akki Roti,169,142,515,460,207
Akki Roti 149.jpg,640,640,Akki Roti,283,287,595,505,208
Akki Roti 15.jpg,640,640,Akki Roti,102,272,519,554,209
Akki Roti 150.jpg,640,640,Akki Roti,233,63,629,624,210
Akki Roti 16.jpg,640,640,Akki Roti,203,112,342,432,211
Akki Roti 17.jpg,640,640,Akki Roti,205,275,640,640,212
Akki Roti 19.jpg,640,640,Akki Roti,169,129,508,567,213
Akki Roti 2.jpg,197,256,Akki Roti,16,71,194,228,214
Akki Roti 20.jpg,640,640,Akki Roti,24,17,332,209,215
Akki Roti 21.jpg,640,640,Akki Roti,138,96,620,550,216
Akki Roti 22.jpg,300,168,Akki Roti,10,19,292,162,217
Akki Roti 23.jpg,640,640,Akki Roti,90,338,421,592,218
Akki Roti 23.jpg,640,640,Akki Roti,267,252,598,506,218
Akki Roti 24.jpg,300,168,Akki Roti,12,27,290,164,219
Akki Roti 25.jpg,640,640,Akki Roti,243,158,443,377,220
Akki Roti 25.jpg,640,640,Akki Roti,322,252,522,471,220
Akki Roti 27.jpg,640,640,Akki Roti,123,73,365,400,221
Akki Roti 3.jpg,640,640,Akki Roti,118,339,535,611,222
Akki Roti 3.jpg,640,640,Akki Roti,129,170,546,442,222
Akki Roti 31.jpg,640,640,Akki Roti,161,407,447,607,223
Akki Roti 31.jpg,640,640,Akki Roti,103,254,389,454,223
Akki Roti 31.jpg,640,640,Akki Roti,304,293,590,493,223
Akki Roti 32.jpg,640,640,Akki Roti,190,383,371,634,224
Akki Roti 32.jpg,640,640,Akki Roti,305,278,486,529,224
Akki Roti 33.jpg,640,640,Akki Roti,146,83,573,601,225
Akki Roti 34.jpg,183,275,Akki Roti,65,71,178,258,226
Akki Roti 35.jpg,640,640,Akki Roti,68,248,276,554,227
Akki Roti 36.jpg,640,640,Akki Roti,201,15,640,459,228
Akki Roti 38.jpg,640,640,Akki Roti,96,236,523,575,229
Akki Roti 4.jpg,640,640,Akki Roti,146,380,524,628,230
Akki Roti 40.jpg,640,640,Akki Roti,99,255,536,516,231
Akki Roti 40.jpg,640,640,Akki Roti,114,41,551,302,231
Akki Roti 41.jpg,640,640,Akki Roti,145,299,456,617,232
Akki Roti 42.jpg,640,640,Akki Roti,246,214,533,491,233
Akki Roti 43.jpg,640,640,Akki Roti,152,440,340,585,234
Akki Roti 43.jpg,640,640,Akki Roti,272,415,460,560,234
Akki Roti 44.jpg,640,640,Akki Roti,108,127,550,518,235
Akki Roti 45.jpg,640,640,Akki Roti,340,143,604,543,236
Akki Roti 45.jpg,640,640,Akki Roti,46,122,310,522,236
Akki Roti 47.jpg,640,640,Akki Roti,83,223,573,536,237
Akki Roti 48.jpg,640,640,Akki Roti,101,296,612,568,238
Akki Roti 49.jpg,640,640,Akki Roti,281,129,471,578,239
Akki Roti 5.jpg,640,640,Akki Roti,32,65,619,265,240
Akki Roti 50.jpg,640,640,Akki Roti,78,206,402,578,241
Akki Roti 52.jpg,640,640,Akki Roti,37,38,561,597,242
Akki Roti 54.jpg,640,640,Akki Roti,68,342,276,613,243
Akki Roti 54.jpg,640,640,Akki Roti,158,140,366,411,243
Akki Roti 55.jpg,640,640,Akki Roti,126,200,584,579,244
Akki Roti 56.jpg,640,640,Akki Roti,349,275,519,431,245
Akki Roti 56.jpg,640,640,Akki Roti,328,422,498,578,245
Akki Roti 57.jpg,245,206,Akki Roti,73,80,245,202,246
Akki Roti 59.jpg,264,191,Akki Roti,13,50,259,187,247
Akki Roti 6.jpg,640,640,Akki Roti,114,113,504,596,248
Akki Roti 60.jpg,275,183,Akki Roti,77,78,204,177,249
Akki Roti 61.jpg,310,163,Akki Roti,55,1,307,147,250
Akki Roti 62.jpg,275,183,Akki Roti,139,38,241,161,251
Akki Roti 63.jpg,640,640,Akki Roti,148,308,490,533,252
Akki Roti 66.jpg,183,275,Akki Roti,34,85,178,247,253
Akki Roti 67.jpg,274,184,Akki Roti,46,71,221,181,254
Akki Roti 68.jpg,640,640,Akki Roti,323,265,611,557,255
Akki Roti 69.jpg,259,194,Akki Roti,11,21,249,190,256
Akki Roti 7.jpg,640,640,Akki Roti,90,351,535,627,257
Akki Roti 70.jpg,184,274,Akki Roti,11,110,175,243,258
Akki Roti 72.jpg,203,248,Akki Roti,17,88,183,215,259
Akki Roti 73.jpg,193,261,Akki Roti,17,89,192,241,260
Akki Roti 74.jpg,640,640,Akki Roti,115,177,500,426,261
Akki Roti 75.jpg,300,168,Akki Roti,79,9,227,154,262
Akki Roti 76.jpg,183,275,Akki Roti,2,87,156,208,263
Akki Roti 77.jpg,225,225,Akki Roti,1,28,146,190,264
Akki Roti 78.jpg,269,187,Akki Roti,42,40,253,165,265
Akki Roti 79.jpg,224,224,Akki Roti,4,23,204,203,266
Akki Roti 80.jpg,640,640,Akki Roti,84,152,579,596,267
Akki Roti 81.jpg,300,168,Akki Roti,58,40,246,159,268
Akki Roti 82.jpg,274,184,Akki Roti,19,12,231,170,269
Akki Roti 83.jpg,275,183,Akki Roti,105,43,240,150,270
Akki Roti 84.jpg,221,228,Akki Roti,1,46,195,211,271
Akki Roti 85.jpg,640,640,Akki Roti,135,340,329,580,272
Akki Roti 85.jpg,640,640,Akki Roti,324,324,518,564,272
Akki Roti 86.jpg,300,168,Akki Roti,21,12,294,167,273
Akki Roti 87.jpg,264,191,Akki Roti,6,8,260,191,274
Akki Roti 88.jpg,197,256,Akki Roti,2,22,159,211,275
Akki Roti 89.jpg,275,183,Akki Roti,57,24,225,135,276
Akki Roti 9.jpg,640,640,Akki Roti,142,402,510,636,277
Akki Roti 90.jpg,187,270,Akki Roti,13,95,180,254,278
Akki Roti 91.jpg,259,194,Akki Roti,35,27,231,185,279
Akki Roti 93.jpg,275,183,Akki Roti,26,35,212,157,280
Akki Roti 94.jpg,194,259,Akki Roti,17,115,180,228,281
Akki Roti 95.jpg,259,194,Akki Roti,115,54,233,177,282
Akki Roti 96.jpg,640,640,Akki Roti,152,171,502,502,283
Akki Roti 97.jpg,275,183,Akki Roti,87,41,245,175,284
Akki Roti 98.jpg,297,170,Akki Roti,22,11,276,170,285
Akki Roti 99.jpg,275,183,Akki Roti,17,8,275,173,286
Almond 1.jpg,474,352,Almond,117,78,203,121,287
Almond 11.jpg,474,297,Almond,68,80,143,148,288
Almond 12.jpg,474,316,Almond,19,12,319,204,289
Almond 13.jpg,474,474,Almond,69,126,428,339,290
Almond 15.jpg,474,296,Almond,28,66,416,260,291
Almond 16.jpg,474,339,Almond,16,135,297,249,292
Almond 17.jpg,474,474,Almond,33,62,412,419,293
Almond 18.jpg,474,439,Almond,62,90,254,238,294
Almond 19.jpg,474,554,Almond,64,157,389,406,295
Almond 2.jpg,474,316,Almond,52,52,450,274,296
Almond 20.jpg,474,316,Almond,137,153,315,270,297
Almond 21.jpg,474,315,Almond,100,79,179,179,298
Almond 22.jpg,456,305,Almond,31,100,183,227,299
Almond 23.jpg,474,236,Almond,7,28,471,221,300
Almond 25.jpg,474,221,Almond,19,38,466,201,301
Almond 26.jpg,474,355,Almond,132,94,438,342,302
Almond 27.jpg,474,354,Almond,110,121,414,292,303
Almond 28.jpg,474,474,Almond,113,88,164,152,304
Almond 29.jpg,474,323,Almond,2,75,430,302,305
Almond 3.jpg,474,266,Almond,144,57,395,210,306
Almond 30.jpg,474,266,Almond,121,42,406,222,307
Almond 31.jpg,306,204,Almond,64,41,147,132,308
Almond 32.jpg,474,446,Almond,162,130,276,230,309
Almond 33.jpg,474,296,Almond,100,83,374,263,310
Almond 34.jpg,474,632,Almond,168,288,248,336,311
Almond 36.jpg,474,317,Almond,26,81,459,244,312
Almond 37.jpg,474,474,Almond,15,32,446,430,313
Almond 38.jpg,474,355,Almond,73,124,292,302,314
Almond 39.jpg,474,332,Almond,75,44,146,153,315
Almond 41.jpg,474,355,Almond,89,79,413,307,316
Almond 42.jpg,474,237,Almond,10,70,198,193,317
Almond 43.jpg,474,255,Almond,154,84,245,171,318
Almond 44.jpg,474,711,Almond,141,25,416,319,319
Almond 45.jpg,474,414,Almond,93,208,260,331,320
Almond 46.jpg,474,218,Almond,249,84,325,174,321
Almond 47.jpg,474,316,Almond,131,39,197,86,322
Almond 48.jpg,474,474,Almond,62,107,149,166,323
Almond 5.jpg,474,316,Almond,71,62,429,266,324
Almond 50.jpg,474,298,Almond,168,143,338,240,325
Almond 51.jpg,474,296,Almond,125,40,336,237,326
Almond 56.jpg,474,219,Almond,30,25,444,202,327
Almond 58.jpg,474,474,Almond,64,84,457,429,328
Almond 6.jpg,474,206,Almond,20,21,469,193,329
Almond 7.jpg,474,392,Almond,24,33,442,363,330
Almond 8.jpg,474,296,Almond,156,76,211,111,331
Almond 9.jpg,474,317,Almond,143,35,257,258,332
Aloo Chokha 1.jpg,310,163,Aloo Chokha,47,1,286,135,333
Aloo Chokha 10.jpg,300,168,Aloo Chokha,21,35,126,132,334
Aloo Chokha 12.jpg,290,174,Aloo Chokha,24,14,206,159,335
Aloo Chokha 14.jpg,168,300,Aloo Chokha,62,97,150,191,336
Aloo Chokha 15.jpg,259,194,Aloo Chokha,47,31,215,177,337
Aloo Chokha 16.jpg,275,183,Aloo Chokha,10,4,259,178,338
Aloo Chokha 17.jpg,310,163,Aloo Chokha,64,3,280,163,339
Aloo Chokha 19.jpg,183,275,Aloo Chokha,48,163,155,250,340
Aloo Chokha 20.jpg,300,168,Aloo Chokha,110,6,201,74,341
Aloo Chokha 21.jpg,183,275,Aloo Chokha,34,93,168,218,342
Aloo Chokha 22.jpg,259,194,Aloo Chokha,2,26,259,175,343
Aloo Chokha 23.jpg,275,183,Aloo Chokha,35,22,225,155,344
Aloo Chokha 24.jpg,188,267,Aloo Chokha,94,55,159,125,345
Aloo Chokha 24.jpg,188,267,Aloo Chokha,120,212,168,251,345
Aloo Chokha 25.jpg,194,259,Aloo Chokha,70,85,194,217,346
Aloo Chokha 26.jpg,225,225,Aloo Chokha,24,5,222,220,347
Aloo Chokha 28.jpg,259,194,Aloo Chokha,19,35,219,179,348
Aloo Chokha 29.jpg,300,168,Aloo Chokha,85,45,238,153,349
Aloo Chokha 30.jpg,276,182,Aloo Chokha,65,28,225,161,350
Aloo Chokha 31.jpg,225,225,Aloo Chokha,23,27,213,202,351
Aloo Chokha 32.jpg,183,275,Aloo Chokha,11,67,182,265,352
Aloo Chokha 33.jpg,300,168,Aloo Chokha,28,3,290,106,353
Aloo Chokha 34.jpg,254,198,Aloo Chokha,76,33,204,160,354
Aloo Chokha 35.jpg,261,193,Aloo Chokha,48,21,234,184,355
Aloo Chokha 36.jpg,268,188,Aloo Chokha,21,6,256,149,356
Aloo Chokha 37.jpg,275,183,Aloo Chokha,97,35,211,149,357
Aloo Chokha 38.jpg,194,259,Aloo Chokha,17,62,187,236,358
Aloo Chokha 39.jpg,300,168,Aloo Chokha,77,28,219,155,359
Aloo Chokha 4.jpg,255,198,Aloo Chokha,10,15,247,176,360
Aloo Chokha 40.jpg,310,163,Aloo Chokha,30,15,290,163,361
Aloo Chokha 41.jpg,200,251,Aloo Chokha,37,110,197,245,362
Aloo Chokha 42.jpg,275,183,Aloo Chokha,91,31,195,140,363
Aloo Chokha 44.jpg,225,225,Aloo Chokha,21,51,212,159,364
Aloo Chokha 45.jpg,310,163,Aloo Chokha,80,1,235,127,365
Aloo Chokha 5.jpg,224,224,Aloo Chokha,27,47,193,185,366
Aloo Chokha 6.jpg,324,155,Aloo Chokha,55,13,284,155,367
Aloo Chokha 7.jpg,265,190,Aloo Chokha,39,29,237,137,368
Aloo Chokha 8.jpg,275,183,Aloo Chokha,1,4,134,176,369
Aloo Chokha 9.jpg,311,162,Aloo Chokha,34,3,294,162,370
Aloo Chop 1.jpg,474,266,Aloo Chop,86,35,273,155,371
Aloo Chop 10.jpg,474,266,Aloo Chop,184,56,427,162,372
Aloo Chop 11.jpg,474,355,Aloo Chop,362,65,467,217,373
Aloo Chop 12.jpg,474,474,Aloo Chop,167,249,243,302,374
Aloo Chop 13.jpg,474,315,Aloo Chop,159,103,258,206,375
Aloo Chop 14.jpg,474,711,Aloo Chop,110,237,227,333,376
Aloo Chop 15.jpg,474,422,Aloo Chop,6,76,462,414,377
Aloo Chop 16.jpg,474,266,Aloo Chop,193,57,306,166,378
Aloo Chop 17.jpg,474,355,Aloo Chop,101,41,307,217,379
Aloo Chop 18.jpg,474,355,Aloo Chop,128,134,264,241,380
Aloo Chop 19.jpg,474,355,Aloo Chop,180,141,432,301,381
