ItemID,Item_Name,Calories,Fat_value,Carbohydrates,Protein,Sodium ,Potassium
39,Black Raisins,1279,0.34,71.29,2.57,,
40,Golden Raisins,1241,0.35,68.79,2.76,,
41,Ramnbutan,306,0.16,16.84,0.68,,
42,Sapota,307,1.26,13.9,0.92,,
43,Soursoup,260,0.94,11.94,0.74,,
44,Starfruit,110,0.39,4.51,0.79,,
45,Strwaberry,103,0.56,3.4,0.97,,
46,Tamarind pulp,1207,0.15,67.35,2.92,,
47,Watermelon,70,0.16,3.86,0.6,,
48,Wood Apple,327,3.62,3.02,3.14,,
49,Zizyphus,204,0.35,7.52,1.34,,
50,Beet Root,149,0.14,9.4,1.95,,
51,Orange Carrot,139,0.47,6.18,0.95,,
52,Red Carrot,160,0.47,5.55,1.04,,
53,Colocasia,37,0.17,17.85,3.31,,
54,Lotus roots,332,0.93,14.67,1.94,,
55,Potato Big,292,0.23,14.89,1.54,,
56,Potato Small,255,0.22,12.9,1.35,,
57,red skin Potato,306,0.22,15.43,1.83,,
58,Red skin Radish,134,0.13,6.71,0.67,,
59,Bajra,1456,12,61.29,11,,
60,Barley,1321,2,61,11,,
61,Jowar,1398,1.73,64,9.9,,
62,Maize,1398,3.7,64.7,8.8,,
63,Quinoa,1374,5.5,53,13.11,,
64,Ragi,1382,2,66,7,,
65,Rice puffed,1516,1.26,77,9,,
66,Brown Rice,1480,1.24,74,9,,
67,Rice,1471,0.5,77,7,,
68,Samai,1449,4,65,10,,
69,Varagu,1380,2.5,66,9,,
70,Wheat flour,1340,0.75,75,10,,
71,Wheat whole,1347,0.5,64,10,,
72,Vermicelli,1392,0.5,70,9.7,,
73,Semolina,1396,0.75,68,11,,
74,Bengal gram,1377,5.3,46.7,21,,
75,Black gram,1356,1.7,51,23,,
76,Whole black gram,1220,1.6,44,22,,
77,Cowpea,1340,2.85,54,21,,
78,Field bean,1150,3,44,19,,
79,Green gram,1363,3.1,50,22,,
80,Horse gram,1379,0.62,57,22,,
81,Lentil,1379,0.75,52,24,,
82,Lentil whole,1251,0.64,48,22,,
83,Moth bean,1291,2,52,22,,
84,Peas dry,1269,1.89,48,20,,
85,Rajma,1252,1.7,28,19,,
86,Red gram,1384,1.7,48,19,,
87,Whole red gram,1146,1.38,42,20,,
88,Ricebean,343,0.75,21,19,,
89,Soyabean,1596,12,19,36,,
90,Red Amarnath leaves,130,2.4,0.6,4,,
91,Green Amarnath leaves,140,0.65,2.37,3.4,,
92,Bathua leaves,114,0.5,2.56,2.5,,
93,Beet greens,150,0.5,4,2.4,,
94,Brussels sprouts,189,0.5,5,0,,
95,Betel leaves,184,0.75,6,2.5,,
96,Cabbage,100,0.21,3.25,1.36,,
97,Violet Cabbage,97,0.7,3.5,1.4,,
98,Cauliflower,154,0.5,3.5,4,,
99,Drumstick,290,1.6,5.6,6.41,,
100,Fenugreek,150,0.83,2.17,3.68,,
101,Mustard leaves,130,0.51,2.41,3.52,,
102,Lettuce,100,0.27,3,1.54,,
103,Parsley,310,1.14,10,5.55,,
104,Pumpkin leaves,190,0.74,4.75,4.21,,
105,Radish leaves,200,0.5,3,2,,
106,Spinach,105,0.64,2,2.14,,
107,Tamarind leaves,300,0.49,10,5.84,,
108,Ash gourd,74,0.14,2.84,0.79,,
109,Bitter gourd,87,0.24,2.82,1.44,,
110,Bottle gourd,57,0.12,2.53,0.42,,
111,Brinjal,106,0.32,3.52,1.48,,
112,Green capsicum,100,0.31,3.19,1.11,,
113,Red Capsicum,31,0.3,6,1,,
114,Yellow Capsicum,27,0.2,6.3,1,,
115,Cauliflower,30,0.4,5,1.9,,
116,Celery Stalk,18,0.1,3.5,0.8,,
117,Cho-cho-marrow,27,0.1,5.7,0.7,,
118,Cluster Beans,40,0.4,4.9,3.6,,
119,Baby Corn,26,0.4,3.1,2.5,,
120,Cucumber,15,0.1,3.6,0.7,,
121,Drumstick,26,0.1,3.7,2.5,,
122,Field Beans,48,0.7,6.7,3.8,,
123,French Beans,26,0.1,4.5,1.7,,
124,Raw Jack Fruit,95,0.6,23.3,1.7,,
125,Ripe Jack Fruit,88,0.1,19.8,1.9,,
126,Knol-Khol,28,0.3,5.1,1.5,,
127,Kovai,17,0.2,2,1.4,,
128,Ladies Finger,35,0.2,6.4,1.9,,
129,Green Mango,60,0.4,15,0.8,,
130,Onion Stalk,41,0.2,8.9,0.9,,
131,Papaya,32,0.1,7.2,0.6,,
132,Parwar,24,0.3,3.5,1.4,,
133,Peas,93,0.1,15.9,7.2,,
134,Plantain Flower,34,0.7,5.1,1.7,,
135,Plantain Green,64,0.2,14,1.4,,
136,Plantain Stem,42,0.1,9.7,0.5,,
137,Pumpkin,25,0.1,4.6,1.4,,
138,Red Gram,335,1.7,57.6,22.3,,
139,Ridge Gourd,17,0.1,3.4,0.5,,
140,Snake Gourd,18,0.3,3.3,0.5,,
141,Tinda,21,0.2,3.4,1.4,,
142,Tomato,20,0.2,3.6,0.9,,
143,Zucchini,21,0.4,3.1,2.7,,
144,Red Apple,59,0.5,13.4,0.2,,
145,Green Apple,52,0,14.3,0,,
146,Kashmiri Apple,59,0.5,13.4,0.2,,
147,Fresh Apricot,53,0.3,11.6,1,,
148,Dried Apricot,306,0.7,73.4,1.6,,
149,Avocado,144,13.9,1.8,3,,
150,Bael Fruit,137,0.3,31.8,1.8,,
151,Banana,116,0.3,27.2,1.2,,
152,Black Berry,37,0.5,6.7,1.3,,
153,Red Cherries,64,0.5,13.8,1.1,,
154,Currants Black,316,0.5,75.2,2.7,,
155,Custard Apple,94,0,23.6,2.1,,
156,Aluva,145,8.4,16.1,1.3,,
157,Anchovy,164,9.6,0.2,19.3,,
158,Ari Fish,89,1.3,3.5,15.9,,
159,Betki,79,0.8,3,14.9,,
160,Bombay Duck,69,1,0,13.7,,
161,Cat Fish,86,0,0,21.4,,
162,Chakla,212,16.8,0,16.8,,
163,Chembali,79,0.8,3,14.9,,
164,Hilsa,273,19.4,2.9,21.8,,
165,kalava,118,1.2,5.3,25.9,,
166,Mackerel,93,1.7,0.5,18.9,,
167,Mullet,155,7.8,2.1,19.1,,
168,Paarai,142,3.6,0,27.3,,
169,Parava,161,9.3,0.6,17.7,,
170,Black Pomfret,111,2.6,1.5,20.3,,
171,White Pomfret,87,1.3,1.8,17,,
172,Rani,93,1.7,0.1,18.1,,
173,Spotted bow head ray fish,97,0.5,2.1,20.9,,
174,Red Snapper,100,1.3,0,20.5,,
175,Small white Squid,92,1.4,3.1,15.6,,
176,Freshwater Eel,184,11.7,0,18.5,,
177,Golden Fish,102,1.9,0.1,21,,
178,Pangas,161,10.8,1.7,14.2,,
179,Rohu,97,1.4,4.4,16.6,,
180,Crab,86,1,0.8,17.4,,
181,Prawns,89,1,0.8,19.1,,
182,Radish,19,0.1,4,0.8,,
183,Sweet Potato,86,0.1,20.1,1.6,,
184,Tapioca,544,0,0,135,,
185,Water Chestnut,97,0.1,23.9,2,,
186,Yam,116,0.14,27.5,1.49,,
187,Green Chillies,6.3,0,1.5,0.3,,
188,Red Chillies,6,0.1,1.3,0.3,,
189,Corriander Leaves,3.7,0.1,0.6,0.4,,
190,Curry Leaves,3.6,0,0.3,0.6,,
191,Garlic,148.5,0.7,32.7,6.3,,
192,Mango Ginger,42.5,2.5,4,0.5,,
193,Mint Leaves,2.5,0,0.5,0.2,,
194,Onion,41,0.2,9.5,1.3,,
195,Asafoetida,9.8,0.1,2.1,0.3,,
196,Cardamom,6.2,0.1,1.4,0.2,,
197,Cloves,5.8,0.3,1.4,0.1,,
198,Coriander Seeds,5.4,0.3,1,0.2,,
199,Cumin Seeds,7.9,0.5,0.9,0.4,,
200,Fenugreek Seeds,12,0.2,2.2,0.9,,
201,Mace,8.1,0.6,0.9,0.1,,
202,Nutmeg,12,0.8,1.1,0.1,,
203,Omum,7,0.3,1,0.4,,
204,Pippali,310,2,66,6,,
205,Black Pepper,5.8,0.1,1.5,0.2,,
206,Poppy Seeds,15,1.2,0.8,0.5,,
207,Turmeric Powder,9.4,0.1,2,0.3,,
208,Almond,170,15,6,6,,
209,Areca Nut,245,4.2,46.2,4.2,,
210,Cashew Nut,155,12,9,5,,
211,Coconut,388,24,44,2.7,,
212,Garden Cress,16,0,3,1.3,,
213,Gingelly Seeds,80,7,3.7,2.4,,
214,Ground Nut,590,50,21,24,,
215,Mustard Seeds,10,0.7,0.6,0.5,,
216,Linseeds,55,4.3,3,1.9,,
217,Black Niger Seeds,515,39,17,24,,
218,Gray Niger Seeds,515,39,17,24,,
219,Pine Seeds,191,19,3.7,3.9,,
220,Pistachio,185,18.5,4,4,,
221,Safflower Seeds,147,11,9.7,4.6,,
222,Sunflower Seeds,699,64,20,25,,
223,Walnut,185,18.5,4,4,,
224,Jaggery,11,0,2.9,0,,
225,Sugarcane Juice,765,0,49.82,0,,
226,Button Mushroom,15,0.3,2.8,1.1,,
227,Chicken Mushroom,36,2,6,21,,
228,Shittake Mushroom,24,0.3,4.8,1.6,,
229,coriander seeds,298,17.8,55,12.4,,
230,whole dry kashmiri red chillies,388,12.3,52.9,17.6,,
231,oil,900,100,0,0,,
232,garlic,149,0.5,33.1,6.4,,
233,green chillies,29,0.6,3,2.9,,
234,tomatoes,18,0.2,3.9,0.9,,
235,dried fenugreek leaves,36,0,3.9,3.9,,
236,garam masala,297,10.9,33.6,13.8,,
237,salt,0,0,0,0,,
238,paneer (cottage cheese),265,20.8,1.2,18.3,,
239,onions,40,0.1,9.3,1.1,,
240,coriander-cumin seeds,340,20,20,20,,
241,turmeric powder,356,9.9,64.9,7.8,,
242,chilli powder,282,14.3,49.7,13.5,,
243,capsicum,20,0.2,4.6,0.9,,
244,sugar,387,0,100,0,,
245,cream,264,25,3.2,0,,
246,"Capsicum, green",20,0.2,4.6,0.9,,
247,"Capsicum, red",31,0.3,6,1,,
248,"Capsicum, yellow",27,0.2,6.3,1,,
249,Buffalo milk,107,6.6,8.4,3.7,,
250,Cow milk,67,4.1,4.4,3.2,,
251,Paneer,265,20.8,1.2,18.3,,
252,Khoa,216,21,42.4,14.8,,
253,"Olive oil,,Virgin olive oil",900,100,0,0,,
254,"Tomato, Tomatoes , Ripe, Hybrids",79,0.25,3.2,0.76,,
255,Basil,473,25,42,20,,
256,"Vinegar , balsamic Vinegar ",88,0,0,0.5,,
257,Potatoes,87,0.1,20.1,1.9,,
258,Cauliflower,23,0.5,4.1,1.8,,
259,Carrots,35,0.2,8.2,0.8,,
260,French Beans,35,0.3,7.9,1.9,,
261,Capsicum ,40,0.2,9.5,2,,
262,Green Peas,84,0.2,16,5.4,,
263,Onion,44,0.2,10,1.4,,
264,Tomatoes,18,0.2,3.9,0.9,,
265,Green Chillies,40,0.2,9.46,2,,
266,Ginger,80,0.8,18,1.8,,
267,Cashews,574,46,33,15,,
268,Milk,50,2,4.8,3.3,,
269,Cumin Seeds,375,22,44,18,,
270,Red Chill powder,282,14,50,13,,
271,Coriander Powder,468,19.15,54.99,11.98,,
272,Garam Masala,315,13,58,11,,
273,Salt,0,0,0,0,,
274,Kasuri Methi,300,3.3,47,20,,
275,Coriander Leaves,31,0.7,1.93,3.52,,
276,Oil,884,100,0,0,,
277,Pizza Base,242,1,49,9,,
278,"White Wheat Flour (All Purpose, Self-Rising, Enriched)",354,0.97,74.22,9.89,,
279,Bread Flour,361,1.66,72.53,11.98,,
280,Yeast,295,4.6,38.2,38.3,,
281,Sugar,377,0,97.33,0,,
282,Water,0,0,0,0,,
283,Pasta,350,2,73,12,,
284,Butter,717,81,0.1,0.1,,
285,Flour,364,1.5,79,12,,
286,Pepper,251,4.9,14.7,8.8,,
287,Parmesan cheese,431,33,1.3,36,,
288,Garlic,514,0.14,21.84,6.74,,
289,coriander seeds,298,17.8,55,12.4,,
290,whole dry kashmiri red chillies,181,12.3,52.9,17.6,,
291,dried fenugreek leaves,26,0,3.9,3.9,,
292,paneer (cottage cheese),265,20.8,1.2,18.3,,
293,cream,345,25,3.2,0,,
294,"Capsicum, green",26,0.2,4.6,0.9,,
295,"Capsicum, red",31,0.3,6,1,,
296,"Capsicum, yellow",26,0.2,6.3,1,,
297,Chicken,239,14,9,27,,
298,Rice,130,0.3,28,2.7,,
299,Chilli Pepper,40,0.4,9,1.9,,
300,Ghee,123,14,5,6,,
301,Onion big,201,0.24,9.56,1.5,,
302,Yoghurt,59,0.4,3.6,10,,
303,Cumin,1274,13.91,22.62,16.64,,
304,Cardamom,1067,2.6,47.76,8.24,,
305,Cloves,781,8.41,18.73,5.86,,
306,Lemon,130,0.75,6.97,0.41,,
307,Tomato,82,0.47,2.71,0.9,,
308,Green Chilli,191,0.73,6.32,2.62,,
309,Red Chilli,990,6.4,29.46,12.69,,
310,Egg,464,9.15,0,13.28,,
311,Basmati Rice,1480,1.24,74.8,9.16,,
312,Carrot,160,0.47,6.71,1.04,,
313,Bay leaf,313,8.36,74,7.61,,
314,Cinnamon,261,3.19,79.85,3.89,,
315,Trifle,1.3,12.1,2,180,,
316,Victoria Sponge Cake,4.5,39.47,22.54,375.25,830,173
317,Waffles,7.9,32.9,14.1,291,116.19,123.84
318,Wedding Cake,2.99,56.2,17.91,391,339.98,75.49
319,3 Musketeers,2.6,78,13,436,511,159
320,After Eight,1.7,80,12,432,269,53
321,Airheads,0.09,90.41,6.68,418.13,19.4,13.3
322,Almond Roca,20.96,21.01,52.54,598,,
323,Angel Delight,0,0,0,451,3.6,2.2
324,Animal Crackers,5.6,75.3,14.2,450,498,713
325,Baby Ruth,5,65,22,459,,
326,Butterfinger,5.4,72.9,18.9,459,468,74
327,Buttermilk Pancakes,6.8,28.7,9.3,227,23,24.9
328,Candy Apple,0.64,28.27,0.14,107.47,230,220
329,Candy Cane,0,98,0.2,394,522,145
330,Candy canes,0,98,0.2,394,116.95,94.12
331,Candy Corn,0,93.18,0.02,373,38,5
332,Candy Floss,0,98,0.2,394,38,5
333,Caramel Popcorn,3.8,79.1,12.8,431,11,4
334,Caramel squares,4.07,52.67,30.24,478,38,5
335,Celebrations,7,64,25,500,206,109
336,Cheez,11.4,57.4,26.3,507,202.71,175.54
337,Chocolate,7.65,59.4,29.66,535,16.1,
338,Chocolate Bar,7.65,59.4,29.66,535,753,97
339,Chocolate Chips,4.2,63.9,30,480,79,372
340,Cookies,5.1,65.36,24.72,492,79,372
341,Cotton Candy,0,99.98,0,387.01,11,365
342,Eggy Bread,8.85,49.42,3.33,266,311,171
343,Fairy Cakes,2.99,56.2,17.91,391,1,2
344,Ferrero Rocher,8.2,44.4,42.7,591,490,126
345,Flapjack,6.4,28.3,9.7,227,269,53
346,Fortune Cookies,4.2,84,2.7,378,6,
347,Granola Bars,5.65,70.2,16.57,418,439,132
348,Gumdrops,0,98.9,0,396,31,41
349,Gummi Bears,0,98.9,0,396,251,237
350,Hanuta,32,54,32,541,44,5
351,Hershey Kisses,7.65,59.4,29.66,535,44,5
352,Jelly Beans,0,93.55,0.05,375,,
353,Jelly Belly,0.15,69.95,0.02,266,79,372
354,Jordan Almonds,5.64,77.61,13.46,443.33,50,37
355,Kit Kat,6.51,64.59,25.99,518,30,54
356,Laffy Taffy,0.03,91.61,3.33,397.23,28.13,199.13
357,Lindt Chocolate,7.65,59.4,29.66,535,54,231
358,Lollipop,0,98,0.2,394,52.03,3
359,M and M s ,4.33,71.19,21.13,492,,
360,Marshmallows,1.8,81.3,0.2,318,79,372
361,Marzipan,3.81,74.13,11.77,401.34,,
362,Mike and Ike,0,0,0,360,38,5
363,Milk Duds,5.3,72.95,13.06,417.19,61,261
364,Peanut Bar,13.44,52.88,25,490,,
365,Peanut Brittle,7.57,71.24,18.98,486,,
366,Peanut Butter Bars,7.75,50.54,36.05,527.45,80,5
367,Peanut Butter Cookies,8.19,53.62,24.42,453.68,14.5,133.85
368,Peppermint bark,4.9,63.09,29.64,507.72,,
369,Pez,0,92,1.1,388,206.82,250.34
370,Popcorn,7.5,55.16,34.02,557,,
371,Pumpkin Seeds,18.55,53.75,19.4,446,,
372,Reeses Peanut Butter Cups,10.24,55.36,30.53,515,231,725
373,Rice Pudding,3.23,18.39,2.15,108,445,168
374,Roasted Almonds,20.96,21.01,52.54,598,308.87,264.16
375,Rolo,5.08,67.95,20.93,474,399.41,206.26
376,Semolina,12.68,72.83,1.05,360,55.23,304.05
377,Skittles,0.19,90.78,4.37,405,,
378,Smarties,4.8,72,17.8,472,764,240
379,Smores,6.52,67.8,19.93,473.37,18,919
380,Snickers,7.53,61.51,23.85,491,357,343
381,Sour Patch Kids,0,98.9,0,396,97,125
382,Speculoos,2.9,57,38.1,584,498,713
383,Spritz Cookies,5.1,65.36,24.72,492,188,188
384,Toblerone,5.71,61.21,28.57,525,1,186
385,Trifle,3.25,17.75,19.93,261.73,15,12
386,Twix,4.91,64.8,24.85,502,,
387,Waffles,7.9,32.9,14.1,291,187.28,260.81
388,Whoopie Pie,4.28,53.05,20.71,415.48,239,323
389,Applesauce,0.16,17.49,0.17,68,44,5
390,Canned Apricots,1.4,11.12,0.39,48,,
391,Canned Blackberries,1.39,9.61,0.49,43,311,171
392,Canned Blueberries,0.74,14.49,0.33,57,54,260
393,Canned Cherries,1.06,16.01,0.2,63,116.19,123.84
394,Canned Cranberries,0.46,11.97,0.13,46,198,186
395,Canned Crushed Pineapple,0.42,15.7,0.08,60,511,159
396,Canned Figs,0.75,19.18,0.3,74,277.61,57.14
397,Canned Fruit Cocktail,0.39,18.91,0.07,73,2,75
398,Canned Fruit Salad,0.83,15.07,0.29,59.5,1,259
399,Canned Gooseberries,0.88,10.18,0.58,44,1,162
400,Canned Grapefruit,0.77,10.66,0.14,42,1,77
401,Canned Grapes,0.72,18.1,0.16,69,0,222
402,Canned Mandarin Oranges,0.62,9.57,0.03,37,2,80
403,Canned Mango,0.82,14.98,0.38,60,1,122
404,Canned Mangosteen,0.41,17.91,0.58,73,1,232
405,Canned Mixed Fruit,0.83,15.07,0.29,59.5,6,88
406,Canned Morello Cherries,1.06,16.01,0.2,63,1.63,224.24
407,Canned Oranges,0.91,12.54,0.15,49,1,198
408,Canned Peaches,0.63,11.57,0.03,44,0,135
409,Canned Pears,0.19,7.81,0.03,29,2,191
410,Canned Pineapple,0.42,15.7,0.08,60,5,133
411,Canned Plums,0.7,11.42,0.28,46,1,168
412,Canned Raspberries,1.2,11.94,0.65,52,7,48
413,Canned Sliced Pineapple,0.54,13.12,0.12,50,1.63,224.24
414,Canned Sour Cherries,0.77,8.94,0.1,36,0,222
415,Canned Strawberries,0.67,7.68,0.3,32,1,166
416,Canned Tangerines,0.81,13.34,0.31,53,4,128
417,Dried Fruit,2.4,64.69,0.52,245,2,53
418,Amaranth,3.8,18.69,1.58,102,1,122
419,Barley,2.26,28.22,0.44,123,0,157
420,Barley Groats,2.26,28.22,0.44,123,1,151
421,Brown Rice,2.32,23.51,0.83,112,1,109
422,Buckwheat,3.38,19.94,0.62,92,7,98
423,Buckwheat Groats,3.38,19.94,0.62,92,1,153
424,Corn Waffles,3.41,20.98,1.5,96,2,166
425,Cornmeal,8.12,76.89,3.59,362,22.4,774.6
426,Cornstarch,0.26,91.27,0.05,381,6,135
427,Couscous,3.79,23.22,0.16,112,3,93
428,Cracker,6.64,61.3,26.43,510,3,93
429,Durum Wheat Semolina,15.4,68.03,1.92,329,1,79
430,Flaxseed,18.29,28.88,42.16,534,4,88
431,Freekeh,3.08,18.58,0.24,83,4,88
432,Grissini,11,69,12,43,1,218
433,Kamut,5.71,27.6,0.83,132,35,287
434,Millet,3.51,23.67,1,119,9,3
435,Millet Flour,10.75,75.12,4.25,382,5,58
436,Millet Gruel,3.51,23.67,1,119,726,118
437,Oat Bran,3.21,11.44,0.86,40,2,340
438,Pearl Barley,2.26,28.22,0.44,123,30,813
439,Polenta,2.1,8.63,4.52,81.93,5,68
440,Prawn Crackers,7.14,59.09,17.86,426,92,
441,Pretzel Sticks,10.04,80.39,2.93,384,8,164
442,Quinoa,4.4,21.3,1.92,120,2,62
443,Rusk,13.5,72.3,7.2,407,4,224
444,Rye Bran,8.5,48.3,3.3,259,2,62
445,Sago,0.7,83,0.8,332,1,92
446,Savoury Biscuits,7,44.6,16.3,353,3,93
447,Shortbread,5.37,63.78,26.22,514,307.03,38.6
448,Spelt,5.5,26.44,0.85,127,571,193
449,Spelt Bran,5.5,26.44,0.85,127,1240,223
450,Spelt Semolina,5.5,26.44,0.85,127,7,172
451,Sunflower Seeds,19.33,15.31,49.8,546,253,245
452,Tortilla,8.7,55.6,7.1,325,603,166
453,Tortilla Chips,7.1,67.78,20.68,472,,
454,Wheat Bran,15.55,64.51,4.25,216,580,121
455,Wheat Germ,23.15,51.8,9.72,360,353,88
456,Wheat Gluten,15.4,68.03,1.92,329,5,143
457,Wheat Semolina,15.4,68.03,1.92,329,5,143
458,Wheat Starch,10.33,76.31,0.98,364,5,143
459,Whole Grain Wheat,15.4,68.03,1.92,329,6008,850
460,Wholegrain Oat,13.15,67.7,6.52,379,478,131
461,American Cheese,17.12,8.8,23.11,312,328,182
462,Applewood,25.4,0.1,34.9,416,2,1182
463,Asiago Cheese,35.75,3.22,25.83,392,12,892
464,Babybel,25,1.43,27.81,357.09,2,340
465,Blue Cheese,21.4,2.34,28.74,353,2,340
466,Brie,20.75,0.45,27.68,334,2,107
467,Camembert,19.8,0.46,24.26,300,2,340
468,Cheddar,22.87,3.09,33.31,404,6,362
469,Cheese Fondue,15.65,1.51,17.01,266.08,1309,283
470,Cheese Spread,6.71,6.83,13.29,174,,
471,Cheese Whiz,12,9.2,21,276,1376,92
472,Colby-Jack Cheese,24.12,1.63,31.2,383.5,812.2,188.05
473,Cottage Cheese,11.12,3.38,4.3,98,1146,256
474,Dutch Cheese,24.94,2.22,27.44,356,629,152
475,Edam Cheese,24.99,1.43,27.8,357,842,187
476,Emmentaler,26.96,1.44,30.99,393,653,76
477,Feta,14.21,4.09,21.28,264,375.49,74.11
478,Fontina,25.6,1.55,31.14,389,828,30
479,Fresh Mozzarella,17.99,1.78,18.13,243.39,1638,240
480,Gjetost,9.65,42.65,29.51,466,,
481,Goat Cheese,18.52,0,21.08,264,604,127
482,Gorgonzola,21.4,2.34,28.74,353,602,104
483,Gouda,24.94,2.22,27.44,356,364,104
484,Grated Parmesan,28.42,13.91,27.84,420,819,121
485,Grilled Cheese,11.05,26.76,21.55,344.44,812,188
486,Gruyere,29.81,0.36,32.34,413,187,72
487,Halloumi,22.17,2.19,22.35,300,917,62
488,Havarti,23.24,2.79,29.68,371,800,64
489,Italian Cheese,22.87,3.09,33.31,404,509.43,61.66
490,Jarlsberg,26.96,1.44,30.99,393,600,1409
491,Maasdam Cheese,22.87,3.09,33.31,404,459,26
492,Manchego Cheese,30.52,2.17,35.59,452,1146,256
493,Monterey Jack Cheese,24.48,0.68,30.28,373,819,121
494,Mozzarella,22.17,2.19,22.35,300,1804,180
495,Muenster Cheese,23.41,1.12,30.04,368,834.36,174.47
496,Neufchatel,9.15,3.59,22.78,253,714,81
497,Parmesan,28.42,13.91,27.84,420,627,76
498,Pecorino,31.8,3.63,26.94,387,560,136
499,Raspberries,1.5,17.6,0.9,84,,
500,Rhubarb,0.9,4.5,0.2,21,,
501,Starfruit,0.7,6.1,0.1,28,,
502,Strawberries,0.7,9.8,0.2,44,,
503,Tamarind,2.8,62.5,0.6,239,,
504,Tangerine,0.8,13.3,0.3,53,,
505,Watermelon,0.6,7.6,0.2,30,,
506,Anise Seed,17.6,50,15.9,337,,
507,Cardamom,10.2,42.1,2.2,229,,
508,Chard,1.8,3.7,0.2,19,,
509,Cinnamon,4,81,1.2,247,,
510,Cream of Tartar,0,61.5,0,258,,
511,Garlic Powder,6.2,29.6,14.7,251,,
512,Licorice,0,93.6,0.1,357,,
513,Onion Powder,10.4,79.1,1.1,341,,
514,Pepper,1.3,23.2,0.3,4.9,,
515,Poppy Seed,21.7,36.8,19.3,408,,
516,Poultry Seasoning,9.6,65.6,7.5,307,,
517,Red Wine Vinegar,0,0.3,0,19,,
518,Raclette Cheese,413,32.34,0.36,29.81,714,81
519,Ricotta,138,7.91,5.14,11.39,99,125
520,Romano,387,26.94,3.63,31.8,1433,86
521,Roquefort,369,30.64,2,21.54,1809,91
522,Sheep Cheese,404,33.31,3.09,22.87,653,76
523,Soft Cheese,404,33.31,3.09,22.87,653,76
524,Stilton Cheese,353,28.74,2.34,21.4,1146,256
525,String Cheese,300,22.35,2.19,22.17,627,76
526,Swiss Cheese,393,30.99,1.44,26.96,187,72
527,White Cheddar,404,33.31,3.09,22.87,653,76
528,Wisconsin Cheese,404,33.31,3.09,22.87,653,76
529,Baked Ham,139,5.1,1.06,22.18,977,345
530,Beef Salami,261,22.2,1.9,12.6,1140,188
531,Boiled Ham,139,5.1,1.06,22.18,977,345
532,Bologna,308,24.59,5.49,15.2,960,315
533,Capicola,336,25.9,2.4,21.85,1740,316
534,Chicken Breast Fillet,165,3.57,0,31.02,74,256
535,Chopped Ham,163,8.6,3.83,16.6,1143,287
536,Chorizo,455,38.27,1.86,24.1,1235,398
537,Corned Beef,251,18.98,0.47,18.17,973,145
538,Dutch Loaf,273,22.91,3.93,12,786,210
539,Ham,139,5.1,1.06,22.18,977,345
540,Ham Sausage,309,28.23,0.94,11.98,827,483
541,Head Cheese,404,33.31,3.09,22.87,653,76
542,Hickory Ham,139,5.1,1.06,22.18,977,345
543,Honey Ham,122,2.37,7.27,17.93,900,165
544,Liverwurst,326,28.5,2.2,14.1,860,170
545,Olive Loaf,115,10.68,6.26,0.84,735,8
546,Oven-Roasted Turkey Breast,147,2.08,0,30.13,99,249
547,Parma Ham,139,5.1,1.06,22.18,977,345
548,Pastrami,147,5.82,0.36,21.8,1078,210
549,Pepperoni,504,46.28,1.18,19.25,1582,274
550,Pimento Loaf,23,0.3,5.1,1.1,14,158
